Streamer_ID,Channel,Watch_time,Stream_time,Peak_viewers,Avg_viewers,Subscribers_End,Subscribers_Beg,Subscribers_gained,Viewers_Gained,Partnered,Mature,Language
65,Trymacs,19735916,1798,50957,10735,1607134,1025045,582089,21254933,TRUE,FALSE,German
66,dasMEHDI,19549484,3858,47683,5013,299048,222480,76568,7422911,TRUE,TRUE,English
67,sneakylol,19153497,2915,22759,6775,1659108,1475197,183911,17820367,TRUE,FALSE,English
68,NickEh30,19135240,1965,85073,9702,1660204,214614,1445590,39439261,TRUE,FALSE,English
69,fps_shaka,18858490,3586,26572,5195,303671,174764,128907,21331882,TRUE,FALSE,Japanese
70,LVPes,18594171,1516,233009,12947,587677,428743,158934,51523747,TRUE,FALSE,Spanish
71,Vader,18515875,3072,16289,5913,424374,366693,57681,11535871,TRUE,TRUE,English
72,forsen,18446351,1819,33966,10080,1308165,1143373,164792,18534278,TRUE,TRUE,English
73,Papaplatte,18425424,2093,42230,8546,919026,366067,552959,23472239,TRUE,FALSE,German
74,StarLadder_cs_en,18147214,548,329195,29956,820675,559682,260993,29821162,TRUE,FALSE,English
75,Symfuhny,17936325,2290,45671,7327,2355063,1650736,704327,18756705,TRUE,TRUE,English
76,DreamHackCS,17548412,5243,212201,5001,1801697,1525763,275934,28759226,TRUE,FALSE,English
77,Mizkif,17534132,2052,32671,7899,591653,226350,365303,13585178,TRUE,FALSE,English
78,Rainbow6,17183520,1373,135471,11535,1501197,1072255,428942,16786627,TRUE,TRUE,English
79,stylishnoob4,17159061,1975,25263,8485,354579,230541,124038,20638084,TRUE,FALSE,Japanese
80,Maximilian_DOOD,17055279,1834,43253,9235,833047,699852,133195,15517436,TRUE,FALSE,English
81,Trainwreckstv,17028332,2474,49379,7134,728097,348124,379973,12449595,TRUE,TRUE,English
82,dota2ti,16959627,105,483530,147643,663297,541875,121422,16228039,TRUE,FALSE,English
83,GRONKH,16959072,911,100330,17860,1216020,1024020,192000,16800930,TRUE,FALSE,German
